X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,Y
_,t,h,e,_,s,u,b,s,e,q,u,e,n,t,_,a,d,v,e,n,t,_,o,f,_,h,u,m,a,n,_,l,i,f,e,_,a,n,d,_,t,h,e,_,d,e,v,e,l,English
b,y,_,c,o,m,p,a,r,i,s,o,n,_,t,h,e,_,g,r,e,a,t,_,o,x,y,g,e,n,a,t,i,o,n,_,e,v,e,n,t,_,p,r,o,d,u,c,e,d,English
t,h,e,_,p,r,e,s,e,n,t,_,e,r,a,_,i,s,_,c,l,a,s,s,i,f,i,e,d,_,a,s,_,p,a,r,t,_,o,f,_,a,_,m,a,s,s,_,e,x,English
_,s,o,m,e,_,s,u,c,h,_,a,s,_,e,_,o,_,w,i,l,s,o,n,_,o,f,_,h,a,r,v,a,r,d,_,u,n,i,v,e,r,s,i,t,y,_,p,r,e,English
_,t,h,e,_,e,x,t,e,n,t,_,o,f,_,t,h,e,_,c,u,r,r,e,n,t,_,e,x,t,i,n,c,t,i,o,n,_,e,v,e,n,t,_,i,s,_,s,t,i,English
_,t,h,e,_,e,a,r,t,h,',s,_,a,t,m,o,s,p,h,e,r,e,_,i,s,_,a,_,k,e,y,_,f,a,c,t,o,r,_,i,n,_,s,u,s,t,a,i,n,English
t,h,e,_,t,h,i,n,_,l,a,y,e,r,_,o,f,_,g,a,s,e,s,_,t,h,a,t,_,e,n,v,e,l,o,p,s,_,t,h,e,_,e,a,r,t,h,_,i,s,English
a,i,r,_,i,s,_,m,o,s,t,l,y,_,n,i,t,r,o,g,e,n,_,o,x,y,g,e,n,_,w,a,t,e,r,_,v,a,p,o,r,_,w,i,t,h,_,m,u,c,English
t,h,e,_,a,t,m,o,s,p,h,e,r,i,c,_,p,r,e,s,s,u,r,e,_,d,e,c,l,i,n,e,s,_,s,t,e,a,d,i,l,y,_,w,i,t,h,_,a,l,English
t,h,e,_,o,z,o,n,e,_,l,a,y,e,r,_,p,l,a,y,s,_,a,n,_,i,m,p,o,r,t,a,n,t,_,r,o,l,e,_,i,n,_,d,e,p,l,e,t,i,English
a,s,_,d,n,a,_,i,s,_,r,e,a,d,i,l,y,_,d,a,m,a,g,e,d,_,b,y,_,u,v,_,l,i,g,h,t,_,t,h,i,s,_,s,e,r,v,e,s,_,English
t,h,e,_,a,t,m,o,s,p,h,e,r,e,_,a,l,s,o,_,r,e,t,a,i,n,s,_,h,e,a,t,_,d,u,r,i,n,g,_,t,h,e,_,n,i,g,h,t,_,English
t,e,r,r,e,s,t,r,i,a,l,_,w,e,a,t,h,e,r,_,o,c,c,u,r,s,_,a,l,m,o,s,t,_,e,x,c,l,u,s,i,v,e,l,y,_,i,n,_,t,English
_,o,c,e,a,n,_,c,u,r,r,e,n,t,s,_,a,r,e,_,a,n,o,t,h,e,r,_,i,m,p,o,r,t,a,n,t,_,f,a,c,t,o,r,_,i,n,_,d,e,English
t,h,e,s,e,_,c,u,r,r,e,n,t,s,_,h,e,l,p,_,t,o,_,m,o,d,e,r,a,t,e,_,t,h,e,_,d,i,f,f,e,r,e,n,c,e,s,_,i,n,English
a,l,s,o,_,w,i,t,h,o,u,t,_,t,h,e,_,r,e,d,i,s,t,r,i,b,u,t,i,o,n,s,_,o,f,_,h,e,a,t,_,e,n,e,r,g,y,_,b,y,English
w,e,a,t,h,e,r,_,c,a,n,_,h,a,v,e,_,b,o,t,h,_,b,e,n,e,f,i,c,i,a,l,_,a,n,d,_,h,a,r,m,f,u,l,_,e,f,f,e,c,English
e,x,t,r,e,m,e,s,_,i,n,_,w,e,a,t,h,e,r,_,s,u,c,h,_,a,s,_,t,o,r,n,a,d,o,e,s,_,o,r,_,h,u,r,r,i,c,a,n,e,English
s,u,r,f,a,c,e,_,v,e,g,e,t,a,t,i,o,n,_,h,a,s,_,e,v,o,l,v,e,d,_,a,_,d,e,p,e,n,d,e,n,c,e,_,o,n,_,t,h,e,English
c,l,i,m,a,t,e,_,i,s,_,a,_,m,e,a,s,u,r,e,_,o,f,_,t,h,e,_,l,o,n,g,-,t,e,r,m,_,t,r,e,n,d,s,_,i,n,_,t,h,English
v,a,r,i,o,u,s,_,f,a,c,t,o,r,s,_,a,r,e,_,k,n,o,w,n,_,t,o,_,i,n,f,l,u,e,n,c,e,_,t,h,e,_,c,l,i,m,a,t,e,English
b,a,s,e,d,_,o,n,_,h,i,s,t,o,r,i,c,a,l,_,r,e,c,o,r,d,s,_,t,h,e,_,e,a,r,t,h,_,i,s,_,k,n,o,w,n,_,t,o,_,English
t,h,e,_,c,l,i,m,a,t,e,_,o,f,_,a,_,r,e,g,i,o,n,_,d,e,p,e,n,d,s,_,o,n,_,a,_,n,u,m,b,e,r,_,o,f,_,f,a,c,English
a,_,l,a,t,i,t,u,d,i,n,a,l,_,b,a,n,d,_,o,f,_,t,h,e,_,s,u,r,f,a,c,e,_,w,i,t,h,_,s,i,m,i,l,a,r,_,c,l,i,English
t,h,e,r,e,_,a,r,e,_,a,_,n,u,m,b,e,r,_,o,f,_,s,u,c,h,_,r,e,g,i,o,n,s,_,r,a,n,g,i,n,g,_,f,r,o,m,_,t,h,English
w,e,a,t,h,e,r,_,i,s,_,a,l,s,o,_,i,n,f,l,u,e,n,c,e,d,_,b,y,_,t,h,e,_,s,e,a,s,o,n,s,_,w,h,i,c,h,_,r,e,English
t,h,u,s,_,a,t,_,a,n,y,_,g,i,v,e,n,_,t,i,m,e,_,d,u,r,i,n,g,_,t,h,e,_,s,u,m,m,e,r,_,o,r,_,w,i,n,t,e,r,English
t,h,i,s,_,e,x,p,o,s,u,r,e,_,a,l,t,e,r,n,a,t,e,s,_,a,s,_,t,h,e,_,e,a,r,t,h,_,r,e,v,o,l,v,e,s,_,i,n,_,English
a,t,_,a,n,y,_,g,i,v,e,n,_,t,i,m,e,_,r,e,g,a,r,d,l,e,s,s,_,o,f,_,s,e,a,s,o,n,_,t,h,e,_,n,o,r,t,h,e,r,English
w,e,a,t,h,e,r,_,i,s,_,a,_,c,h,a,o,t,i,c,_,s,y,s,t,e,m,_,t,h,a,t,_,i,s,_,r,e,a,d,i,l,y,_,m,o,d,i,f,i,English
_,o,v,e,r,a,l,l,_,t,w,o,_,t,h,i,n,g,s,_,a,r,e,_,h,a,p,p,e,n,i,n,g,_,w,o,r,l,d,w,i,d,e,_,(,),_,t,e,m,English
_,w,a,t,e,r,_,i,s,_,a,_,c,h,e,m,i,c,a,l,_,s,u,b,s,t,a,n,c,e,_,t,h,a,t,_,i,s,_,c,o,m,p,o,s,e,d,_,o,f,English
_,i,n,_,t,y,p,i,c,a,l,_,u,s,a,g,e,_,w,a,t,e,r,_,r,e,f,e,r,s,_,o,n,l,y,_,t,o,_,i,t,s,_,l,i,q,u,i,d,_,English
w,a,t,e,r,_,c,o,v,e,r,s,_,%,_,o,f,_,t,h,e,_,e,a,r,t,h,',s,_,s,u,r,f,a,c,e,_,_,_,_,_,_,_,_,_,_,_,_,_,English
_,o,n,_,e,a,r,t,h,_,i,t,_,i,s,_,f,o,u,n,d,_,m,o,s,t,l,y,_,i,n,_,o,c,e,a,n,s,_,a,n,d,_,o,t,h,e,r,_,l,English
_,o,c,e,a,n,s,_,h,o,l,d,_,%,_,o,f,_,s,u,r,f,a,c,e,_,w,a,t,e,r,_,g,l,a,c,i,e,r,s,_,a,n,d,_,p,o,l,a,r,English
a,d,d,i,t,i,o,n,a,l,l,y,_,a,_,m,i,n,u,t,e,_,a,m,o,u,n,t,_,o,f,_,t,h,e,_,e,a,r,t,h,',s,_,w,a,t,e,r,_,English
a,n,_,o,c,e,a,n,_,i,s,_,a,_,m,a,j,o,r,_,b,o,d,y,_,o,f,_,s,a,l,i,n,e,_,w,a,t,e,r,_,a,n,d,_,a,_,p,r,i,English
a,p,p,r,o,x,i,m,a,t,e,l,y,_,%,_,o,f,_,t,h,e,_,e,a,r,t,h,',s,_,s,u,r,f,a,c,e,_,(,a,n,_,a,r,e,a,_,o,f,English
m,o,r,e,_,t,h,a,n,_,h,a,l,f,_,o,f,_,t,h,i,s,_,a,r,e,a,_,i,s,_,o,v,e,r,_,m,e,t,e,r,s,_,(,_,f,e,e,t,),English
a,v,e,r,a,g,e,_,o,c,e,a,n,i,c,_,s,a,l,i,n,i,t,y,_,i,s,_,a,r,o,u,n,d,_,p,a,r,t,s,_,p,e,r,_,t,h,o,u,s,English
t,h,o,u,g,h,_,g,e,n,e,r,a,l,l,y,_,r,e,c,o,g,n,i,z,e,d,_,a,s,_,s,e,v,e,r,a,l,_,',s,e,p,a,r,a,t,e,',_,English
_,t,h,i,s,_,c,o,n,c,e,p,t,_,o,f,_,a,_,g,l,o,b,a,l,_,o,c,e,a,n,_,a,s,_,a,_,c,o,n,t,i,n,u,o,u,s,_,b,o,English
_,t,h,e,_,m,a,j,o,r,_,o,c,e,a,n,i,c,_,d,i,v,i,s,i,o,n,s,_,a,r,e,_,d,e,f,i,n,e,d,_,i,n,_,p,a,r,t,_,b,English
s,m,a,l,l,e,r,_,r,e,g,i,o,n,s,_,o,f,_,t,h,e,_,o,c,e,a,n,s,_,a,r,e,_,c,a,l,l,e,d,_,s,e,a,s,_,g,u,l,f,English
t,h,e,r,e,_,a,r,e,_,a,l,s,o,_,s,a,l,t,_,l,a,k,e,s,_,w,h,i,c,h,_,a,r,e,_,s,m,a,l,l,e,r,_,b,o,d,i,e,s,English
t,w,o,_,n,o,t,a,b,l,e,_,e,x,a,m,p,l,e,s,_,o,f,_,s,a,l,t,_,l,a,k,e,s,_,a,r,e,_,t,h,e,_,a,r,a,l,_,s,e,English
a,_,l,a,k,e,_,(,f,r,o,m,_,l,a,t,i,n,_,w,o,r,d,_,l,a,c,u,s,),_,i,s,_,a,_,t,e,r,r,a,i,n,_,f,e,a,t,u,r,English
o,n,_,e,a,r,t,h,_,a,_,b,o,d,y,_,o,f,_,w,a,t,e,r,_,i,s,_,c,o,n,s,i,d,e,r,e,d,_,a,_,l,a,k,e,_,w,h,e,n,English
_,t,h,e,_,o,n,l,y,_,w,o,r,l,d,_,o,t,h,e,r,_,t,h,a,n,_,e,a,r,t,h,_,k,n,o,w,n,_,t,o,_,h,a,r,b,o,r,_,l,English
i,t,_,i,s,_,n,o,t,_,k,n,o,w,n,_,i,f,_,t,i,t,a,n,',s,_,l,a,k,e,s,_,a,r,e,_,f,e,d,_,b,y,_,r,i,v,e,r,s,English
n,a,t,u,r,a,l,_,l,a,k,e,s,_,o,n,_,e,a,r,t,h,_,a,r,e,_,g,e,n,e,r,a,l,l,y,_,f,o,u,n,d,_,i,n,_,m,o,u,n,English
o,t,h,e,r,_,l,a,k,e,s,_,a,r,e,_,f,o,u,n,d,_,i,n,_,e,n,d,o,r,h,e,i,c,_,b,a,s,i,n,s,_,o,r,_,a,l,o,n,g,English
i,n,_,s,o,m,e,_,p,a,r,t,s,_,o,f,_,t,h,e,_,w,o,r,l,d,_,t,h,e,r,e,_,a,r,e,_,m,a,n,y,_,l,a,k,e,s,_,b,e,English
a,l,l,_,l,a,k,e,s,_,a,r,e,_,t,e,m,p,o,r,a,r,y,_,o,v,e,r,_,g,e,o,l,o,g,i,c,_,t,i,m,e,_,s,c,a,l,e,s,_,English
a,_,p,o,n,d,_,i,s,_,a,_,b,o,d,y,_,o,f,_,s,t,a,n,d,i,n,g,_,w,a,t,e,r,_,e,i,t,h,e,r,_,n,a,t,u,r,a,l,_,English
a,_,w,i,d,e,_,v,a,r,i,e,t,y,_,o,f,_,m,a,n,-,m,a,d,e,_,b,o,d,i,e,s,_,o,f,_,w,a,t,e,r,_,a,r,e,_,c,l,a,English
p,o,n,d,s,_,a,n,d,_,l,a,k,e,s,_,a,r,e,_,d,i,s,t,i,n,g,u,i,s,h,e,d,_,f,r,o,m,_,s,t,r,e,a,m,s,_,v,i,a,English
w,h,i,l,e,_,c,u,r,r,e,n,t,s,_,i,n,_,s,t,r,e,a,m,s,_,a,r,e,_,e,a,s,i,l,y,_,o,b,s,e,r,v,e,d,_,p,o,n,d,English
t,h,e,s,e,_,f,e,a,t,u,r,e,s,_,d,i,s,t,i,n,g,u,i,s,h,_,a,_,p,o,n,d,_,f,r,o,m,_,m,a,n,y,_,o,t,h,e,r,_,English
a,_,r,i,v,e,r,_,i,s,_,a,_,n,a,t,u,r,a,l,_,w,a,t,e,r,c,o,u,r,s,e,_,u,s,u,a,l,l,y,_,f,r,e,s,h,w,a,t,e,English
i,n,_,a,_,f,e,w,_,c,a,s,e,s,_,a,_,r,i,v,e,r,_,s,i,m,p,l,y,_,f,l,o,w,s,_,i,n,t,o,_,t,h,e,_,g,r,o,u,n,English
s,m,a,l,l,_,r,i,v,e,r,s,_,m,a,y,_,a,l,s,o,_,b,e,_,c,a,l,l,e,d,_,b,y,_,s,e,v,e,r,a,l,_,o,t,h,e,r,_,n,English
m,a,n,y,_,n,a,m,e,s,_,f,o,r,_,s,m,a,l,l,_,r,i,v,e,r,s,_,a,r,e,_,s,p,e,c,i,f,i,c,_,t,o,_,g,e,o,g,r,a,English
s,o,m,e,t,i,m,e,s,_,a,_,r,i,v,e,r,_,i,s,_,s,a,i,d,_,t,o,_,b,e,_,l,a,r,g,e,r,_,t,h,a,n,_,a,_,c,r,e,e,English
_,a,_,r,i,v,e,r,_,i,s,_,p,a,r,t,_,o,f,_,t,h,e,_,h,y,d,r,o,l,o,g,i,c,a,l,_,c,y,c,l,e,_,_,_,_,_,_,_,_,English
w,a,t,e,r,_,w,i,t,h,i,n,_,a,_,r,i,v,e,r,_,i,s,_,g,e,n,e,r,a,l,l,y,_,c,o,l,l,e,c,t,e,d,_,f,r,o,m,_,p,English
a,_,s,t,r,e,a,m,_,i,s,_,a,_,f,l,o,w,i,n,g,_,b,o,d,y,_,o,f,_,w,a,t,e,r,_,w,i,t,h,_,a,_,c,u,r,r,e,n,t,English
i,n,_,t,h,e,_,u,n,i,t,e,d,_,s,t,a,t,e,s,_,a,_,s,t,r,e,a,m,_,i,s,_,c,l,a,s,s,i,f,i,e,d,_,a,s,_,a,_,w,English
s,t,r,e,a,m,s,_,a,r,e,_,i,m,p,o,r,t,a,n,t,_,a,s,_,c,o,n,d,u,i,t,s,_,i,n,_,t,h,e,_,w,a,t,e,r,_,c,y,c,English
t,h,e,_,b,i,o,l,o,g,i,c,a,l,_,h,a,b,i,t,a,t,_,i,n,_,t,h,e,_,i,m,m,e,d,i,a,t,e,_,v,i,c,i,n,i,t,y,_,o,English
g,i,v,e,n,_,t,h,e,_,s,t,a,t,u,s,_,o,f,_,t,h,e,_,o,n,g,o,i,n,g,_,h,o,l,o,c,e,n,e,_,e,x,t,i,n,c,t,i,o,English
t,h,e,_,s,t,u,d,y,_,o,f,_,s,t,r,e,a,m,s,_,a,n,d,_,w,a,t,e,r,w,a,y,s,_,i,n,_,g,e,n,e,r,a,l,_,i,n,v,o,English
e,c,o,s,y,s,t,e,m,s,_,a,r,e,_,c,o,m,p,o,s,e,d,_,o,f,_,a,_,v,a,r,i,e,t,y,_,o,f,_,b,i,o,t,i,c,_,a,n,d,English
_,t,h,e,_,s,t,r,u,c,t,u,r,e,_,a,n,d,_,c,o,m,p,o,s,i,t,i,o,n,_,i,s,_,d,e,t,e,r,m,i,n,e,d,_,b,y,_,v,a,English
v,a,r,i,a,t,i,o,n,s,_,o,f,_,t,h,e,s,e,_,f,a,c,t,o,r,s,_,w,i,l,l,_,i,n,i,t,i,a,t,e,_,d,y,n,a,m,i,c,_,English
s,o,m,e,_,o,f,_,t,h,e,_,m,o,r,e,_,i,m,p,o,r,t,a,n,t,_,c,o,m,p,o,n,e,n,t,s,_,a,r,e,_,s,o,i,l,_,a,t,m,English
c,e,n,t,r,a,l,_,t,o,_,t,h,e,_,e,c,o,s,y,s,t,e,m,_,c,o,n,c,e,p,t,_,i,s,_,t,h,e,_,i,d,e,a,_,t,h,a,t,_,English
e,u,g,e,n,e,_,o,d,u,m,_,a,_,f,o,u,n,d,e,r,_,o,f,_,e,c,o,l,o,g,y,_,s,t,a,t,e,d,_,a,n,y,_,u,n,i,t,_,t,English
_,e,x,c,h,a,n,g,e,_,o,f,_,m,a,t,e,r,i,a,l,s,_,b,e,t,w,e,e,n,_,l,i,v,i,n,g,_,a,n,d,_,n,o,n,l,i,v,i,n,English
